rule,condition,seed,stat,ai
quantile,noisy_learn,8,mean,0.6862499999999998
quantile,noisy_learn,8,variance,0.03915662650602433
quantile,noisy_learn,8,kurtosis,0.07374999999999998
quantile,noisy_learn,9,mean,0.6315789473684211
quantile,noisy_learn,9,variance,-0.014248704663212479
quantile,noisy_learn,9,kurtosis,-0.08233532934131732
quantile,noisy_learn,10,mean,0.64375
quantile,noisy_learn,10,variance,0.05750000000000011
quantile,noisy_learn,10,kurtosis,-0.1500000000000001
quantile,noisy_learn,11,mean,0.7575000000000001
quantile,noisy_learn,11,variance,0.026455026455026367
quantile,noisy_learn,11,kurtosis,-0.028846153846153837
quantile,noisy_learn,12,mean,0.69
quantile,noisy_learn,12,variance,0.05681818181818197
quantile,noisy_learn,12,kurtosis,0.06460674157303357
quantile,noisy_learn,13,mean,0.63625
quantile,noisy_learn,13,variance,0.1716867469879519
quantile,noisy_learn,13,kurtosis,0.25
quantile,noisy_learn,14,mean,0.5012755102040816
quantile,noisy_learn,14,variance,-0.19948186528497414
quantile,noisy_learn,14,kurtosis,0.30452127659574474
quantile,noisy_learn,15,mean,0.7329842931937174
quantile,noisy_learn,15,variance,0.02659574468085097
quantile,noisy_learn,15,kurtosis,-0.08766233766233764
quantile,noisy_learn,16,mean,0.5631443298969071
quantile,noisy_learn,16,variance,0.041899441340782224
quantile,noisy_learn,16,kurtosis,-0.11390532544378705
quantile,noisy_learn,17,mean,0.59625
quantile,noisy_learn,17,variance,0.09358288770053468
quantile,noisy_learn,17,kurtosis,0.032786885245901676
quantile,noisy_learn,18,mean,0.43679775280898875
quantile,noisy_learn,18,variance,0.10876623376623375
quantile,noisy_learn,18,kurtosis,0.15292553191489366
quantile,noisy_learn,19,mean,0.4864864864864864
quantile,noisy_learn,19,variance,0.03714285714285711
quantile,noisy_learn,19,kurtosis,-0.08026315789473688
quantile,noisy_learn,20,mean,0.61625
quantile,noisy_learn,20,variance,0.07098765432098778
quantile,noisy_learn,20,kurtosis,0.052295918367346955
quantile,noisy_learn,21,mean,0.7037499999999999
quantile,noisy_learn,21,variance,0.011904761904761888
quantile,noisy_learn,21,kurtosis,-0.009316770186335479
quantile,noisy_learn,22,mean,0.5025
quantile,noisy_learn,22,variance,-0.17610062893081752
quantile,noisy_learn,22,kurtosis,-0.11377245508982044
quantile,noisy_learn,23,mean,0.5621693121693123
quantile,noisy_learn,23,variance,-0.1033519553072626
quantile,noisy_learn,23,kurtosis,-0.1868421052631579
quantile,noisy_learn,24,mean,0.28333333333333344
quantile,noisy_learn,24,variance,0.06557377049180335
quantile,noisy_learn,24,kurtosis,0.10233160621761667
quantile,noisy_learn,25,mean,0.36375
quantile,noisy_learn,25,variance,-0.22994652406417107
quantile,noisy_learn,25,kurtosis,0.2322404371584699
quantile,noisy_learn,26,mean,0.6087500000000001
quantile,noisy_learn,26,variance,-0.07650273224043724
quantile,noisy_learn,26,kurtosis,0.07768361581920911
quantile,noisy_learn,27,mean,0.47961956521739124
quantile,noisy_learn,27,variance,-0.002890173410404692
quantile,noisy_learn,27,kurtosis,-0.1946022727272726
quantile,noisy_learn,28,mean,0.4537499999999999
quantile,noisy_learn,28,variance,0.00802139037433138
quantile,noisy_learn,28,kurtosis,-0.07250000000000001
quantile,noisy_learn,29,mean,0.7875000000000001
quantile,noisy_learn,29,variance,0.1753926701570681
quantile,noisy_learn,29,kurtosis,0.11201298701298722
quantile,noisy_both,0,mean,0.46376811594202866
quantile,noisy_both,0,variance,0.1540697674418602
quantile,noisy_both,0,kurtosis,0.05172413793103466
quantile,noisy_both,1,mean,0.5467032967032966
quantile,noisy_both,1,variance,0.14482758620689645
quantile,noisy_both,1,kurtosis,-0.028124999999999963
quantile,noisy_both,2,mean,0.3249999999999998
quantile,noisy_both,2,variance,-0.3833333333333331
quantile,noisy_both,2,kurtosis,0.029720279720279696
quantile,noisy_both,3,mean,0.08281250000000018
quantile,noisy_both,3,variance,-0.0531496062992125
quantile,noisy_both,3,kurtosis,0.0899999999999999
quantile,noisy_both,4,mean,0.026548672566371903
quantile,noisy_both,4,variance,0.062111801242235795
quantile,noisy_both,4,kurtosis,0.08789062499999988
quantile,noisy_both,5,mean,0.5796703296703294
quantile,noisy_both,5,variance,-0.11013986013986007
quantile,noisy_both,5,kurtosis,0.05200000000000031
quantile,noisy_both,6,mean,0.266025641025641
quantile,noisy_both,6,variance,0.026595744680851123
quantile,noisy_both,6,kurtosis,0.18518518518518512
quantile,noisy_both,7,mean,0.28100775193798433
quantile,noisy_both,7,variance,0.10077519379844953
quantile,noisy_both,7,kurtosis,0.021428571428571398
quantile,noisy_both,8,mean,0.4502617801047122
quantile,noisy_both,8,variance,0.016260162601626035
quantile,noisy_both,8,kurtosis,0.2824074074074074
quantile,noisy_both,9,mean,0.40192307692307694
quantile,noisy_both,9,variance,0.06676136363636372
quantile,noisy_both,9,kurtosis,-0.050561797752808925
quantile,noisy_both,10,mean,0.3368794326241132
quantile,noisy_both,10,variance,-0.14176829268292682
quantile,noisy_both,10,kurtosis,-0.048245614035087855
quantile,noisy_both,11,mean,0.5983333333333333
quantile,noisy_both,11,variance,-0.007692307692307871
quantile,noisy_both,11,kurtosis,-0.09395973154362426
quantile,noisy_both,12,mean,0.3582474226804123
quantile,noisy_both,12,variance,0.2914438502673797
quantile,noisy_both,12,kurtosis,0.016025641025640972
quantile,noisy_both,13,mean,0.3942307692307693
quantile,noisy_both,13,variance,0.07391304347826085
quantile,noisy_both,13,kurtosis,0.17482517482517476
quantile,noisy_both,14,mean,0.24685534591194974
quantile,noisy_both,14,variance,-0.42962962962962964
quantile,noisy_both,14,kurtosis,0.26978417266187055
quantile,noisy_both,15,mean,0.3142361111111112
quantile,noisy_both,15,variance,-0.18220338983050832
quantile,noisy_both,15,kurtosis,0.0370370370370369
quantile,noisy_both,16,mean,0.2620689655172413
quantile,noisy_both,16,variance,0.4646226415094341
quantile,noisy_both,16,kurtosis,-0.34114583333333326
quantile,noisy_both,17,mean,0.3827160493827161
quantile,noisy_both,17,variance,0.2913669064748202
quantile,noisy_both,17,kurtosis,-0.05782312925170065
quantile,noisy_both,18,mean,0.29545454545454575
quantile,noisy_both,18,variance,0.24752475247524758
quantile,noisy_both,18,kurtosis,-0.11861313868613128
quantile,noisy_both,19,mean,0.06640625000000033
quantile,noisy_both,19,variance,0.21153846153846173
quantile,noisy_both,19,kurtosis,-0.1295454545454544
quantile,noisy_both,20,mean,0.4324324324324323
quantile,noisy_both,20,variance,-0.03632478632478612
quantile,noisy_both,20,kurtosis,-0.25000000000000017
quantile,noisy_both,21,mean,0.28787878787878796
quantile,noisy_both,21,variance,-0.15397350993377476
quantile,noisy_both,21,kurtosis,0.07831325301204813
quantile,noisy_both,22,mean,0.2426035502958581
quantile,noisy_both,22,variance,-0.3181818181818183
quantile,noisy_both,22,kurtosis,-0.06919642857142848
quantile,noisy_both,23,mean,0.4089403973509934
quantile,noisy_both,23,variance,0.1813725490196079
quantile,noisy_both,23,kurtosis,-0.0029239766081870723
quantile,noisy_both,24,mean,0.13135593220338976
quantile,noisy_both,24,variance,0.06886227544910191
quantile,noisy_both,24,kurtosis,0.05706521739130413
quantile,noisy_both,25,mean,0.07534246575342488
quantile,noisy_both,25,variance,-0.20673076923076938
quantile,noisy_both,25,kurtosis,0.0
quantile,noisy_both,26,mean,0.3193548387096775
quantile,noisy_both,26,variance,-0.015000000000000131
quantile,noisy_both,26,kurtosis,0.1174496644295301
quantile,noisy_both,27,mean,0.3143712574850298
quantile,noisy_both,27,variance,-0.0951327433628318
quantile,noisy_both,27,kurtosis,-0.23563218390804577
quantile,noisy_both,28,mean,0.18934911242603564
quantile,noisy_both,28,variance,0.012152777777777828
quantile,noisy_both,28,kurtosis,-0.10450819672131141
quantile,noisy_both,29,mean,0.7472972972972974
quantile,noisy_both,29,variance,-0.06250000000000004
quantile,noisy_both,29,kurtosis,0.07993197278911575
