shape,seed,stat,ai
bimodal,38,kurtosis,0.04729729729729708
bimodal,39,mean,0.6289473684210526
bimodal,39,variance,-0.02160493827160503
bimodal,39,kurtosis,0.011111111111111202
bimodal,40,mean,0.5930555555555552
bimodal,40,variance,0.23750000000000002
bimodal,40,kurtosis,-0.22222222222222227
bimodal,41,mean,0.5453216374269004
bimodal,41,variance,0.0839416058394162
bimodal,41,kurtosis,0.037267080745341644
bimodal,42,mean,0.48088235294117637
bimodal,42,variance,-0.09687499999999988
bimodal,42,kurtosis,-0.04279279279279287
bimodal,43,mean,0.552083333333333
bimodal,43,variance,0.03431372549019622
bimodal,43,kurtosis,0.17307692307692335
bimodal,44,mean,0.43019480519480524
bimodal,44,variance,-0.028846153846153792
bimodal,44,kurtosis,0.22359154929577452
bimodal,45,mean,0.9078125
bimodal,45,variance,-0.040816326530612276
bimodal,45,kurtosis,0.06590909090909108
bimodal,46,mean,0.3207547169811322
bimodal,46,variance,-0.04965753424657552
bimodal,46,kurtosis,-0.16319444444444436
bimodal,47,mean,0.4767857142857143
bimodal,47,variance,-0.030769230769230802
bimodal,47,kurtosis,0.06985294117647044
bimodal,48,mean,0.5107361963190182
bimodal,48,variance,0.13319672131147509
bimodal,48,kurtosis,-0.3033980582524273
bimodal,49,mean,0.4865771812080541
bimodal,49,variance,0.04687500000000011
bimodal,49,kurtosis,0.1599378881987579
bimodal,50,mean,0.5954545454545455
bimodal,50,variance,0.14416058394160566
bimodal,50,kurtosis,-0.030219780219780317
bimodal,51,mean,0.5406626506024096
bimodal,51,variance,0.10992907801418456
bimodal,51,kurtosis,0.2500000000000002
bimodal,52,mean,0.589095744680851
bimodal,52,variance,0.05756578947368413
bimodal,52,kurtosis,0.045751633986928296
bimodal,53,mean,0.592987804878049
bimodal,53,variance,-0.2833333333333334
bimodal,53,kurtosis,0.10869565217391315
bimodal,54,mean,0.8111111111111111
bimodal,54,variance,0.2456140350877196
bimodal,54,kurtosis,-0.06762295081967196
bimodal,55,mean,0.7105263157894736
bimodal,55,variance,-0.02611940298507472
